,availability,legal,look-and-feel,maintainability,operational,performance,scalability,security,usability
availability,19,1,0,4,2,7,1,6,0
legal,0,14,1,0,1,1,1,6,0
look-and-feel,11,11,25,2,3,0,5,3,4
maintainability,3,0,0,14,1,2,4,1,0
operational,3,10,0,0,15,3,15,3,1
performance,36,0,0,0,0,6,4,1,1
scalability,1,1,0,0,1,6,7,1,0
security,1,3,0,1,0,0,0,57,0
usability,2,3,4,0,2,11,0,3,11
