,availability,legal,look-and-feel,maintainability,operational,performance,scalability,security,usability
availability,28,3,0,0,0,6,1,2,0
legal,0,11,0,7,1,0,0,3,2
look-and-feel,13,4,6,7,8,7,3,0,16
maintainability,5,0,0,11,2,1,3,3,0
operational,18,4,0,4,5,0,12,2,5
performance,20,4,0,2,3,9,8,2,0
scalability,6,0,0,0,0,1,10,0,0
security,7,9,0,6,0,0,0,40,0
usability,13,4,0,3,0,4,0,0,12
